"#","Name of Job","Cylinder Given To","Check Out Date","Check In Date","Options"
"234","NANAK HUT CLOTH FACTORY 16*16.5*5.5 BOX","ROYAL CYCLINDERS","11 Jun, 2025","01 Jul, 2025",""
"235","NEW DHARMENDRA 12*10*8 BOX","JINDAL CYCLINDER","11 Jun, 2025","23 Jun, 2025",""
"236","HOOR FABRICS 15*18 LOOP","ROYAL CYCLINDERS","11 Jun, 2025","28 Jun, 2025",""
"237","KARAM CHAND 14*8*8 BOX","JINDAL CYCLINDER","10 Jun, 2025","23 Jun, 2025",""
"238","ARABIAN COLLECTION 15*18 LOOP","ROYAL CYCLINDERS","10 Jun, 2025","23 Jun, 2025",""
"239","BIVOL 11*14*5 BOX","ROYAL CYCLINDERS","10 Jun, 2025","30 Jun, 2025",""
"240","DUSTY LOOK 14*16 LOOP","ROYAL CYCLINDERS","10 Jun, 2025","23 Jun, 2025",""
"241","DUSTY LOOK 16*18 LOOP","ROYAL CYCLINDERS","10 Jun, 2025","23 Jun, 2025",""
"242","APPRICOT EXCLUSIVE 16*16.7*5.5 BOX","ROYAL CYCLINDERS","10 Jun, 2025","23 Jun, 2025",""
"243","CHHABRA 15.5*16.5*5.5 BOX","ROYAL CYCLINDERS","10 Jun, 2025","12 Jun, 2025",""
"244","BAATU PLAZA 11*13*4 BOX","ROYAL CYCLINDERS","10 Jun, 2025","12 Jun, 2025",""
"245","MELINI ( SHAKTI GARMENTS) 16*20 LOOP","ROYAL CYCLINDERS","10 Jun, 2025","12 Jun, 2025",""
"246","MELINI ( SHAKTI GARMENTS) 14*18 LOOP","ROYAL CYCLINDERS","10 Jun, 2025","12 Jun, 2025",""
"247","APPRICOT EXCLUSIVE 12*16 LOOP","ROYAL CYCLINDERS","10 Jun, 2025","23 Jun, 2025",""
"248","MODEL THE BEST 14*18 LOOP","ROYAL CYCLINDERS","10 Jun, 2025","20 Jun, 2025",""
"249","SUNDER SONS 12*16 LOOP","ROYAL CYCLINDERS","10 Jun, 2025","12 Jun, 2025",""
"250","NEVA CLOTHING FOR LIFE 12*15.5 D-CUT","JINDAL CYCLINDER","10 Jun, 2025","12 Jun, 2025",""
"251","POLKI THE DESIGN STUDIO 12.5*15 LOOP","ROYAL CYCLINDERS","10 Jun, 2025","23 Jun, 2025",""
"252","KARACHI SUITS 12*15*4 BOX","JINDAL CYCLINDER","30 May, 2025","06 Jun, 2025",""
"253","VISMAYA SILKS 14*18 D-CUT","JINDAL CYCLINDER","30 May, 2025","09 Jun, 2025",""
"254","APPRICOT EXCLUSIVE 16*20 LOOP","JINDAL CYCLINDER","30 May, 2025","03 Jun, 2025",""
"255","PINEAPPLE GIRL'S EXCLUSIVE 16*18 LOOP","KATYANI CYCLINDER","30 May, 2025","02 Jun, 2025",""
"256","YAKRITI FASHION 16*16.7*5.5 BOX","ROYAL CYCLINDERS","30 May, 2025","30 May, 2025",""
"257","YAKRITI FASHION 12*14*4 BOX","JINDAL CYCLINDER","30 May, 2025","02 Jun, 2025",""
"258","BRUTY 13.5*15.5*4 BOX","ROYAL CYCLINDERS","30 May, 2025","30 May, 2025",""
"259","ASHOKA SHOES 11.5*15*4 BOX","ROYAL CYCLINDERS","30 May, 2025","12 Jun, 2025",""
"260","SAPNA READYMADE STORE 19*14 LOOP","ROYAL CYCLINDERS","22 May, 2025","06 Jun, 2025",""
"261","VARDHMAN GLAXY 9*11*4 BOX","JINDAL CYCLINDER","22 May, 2025","06 Jun, 2025",""
"262","JOG 13*15 LOOP","KATYANI CYCLINDER","22 May, 2025","02 Jun, 2025",""
"263","CHHABRA 12.5*16*4 BOX ( CREAM )","JINDAL CYCLINDER","22 May, 2025","26 May, 2025",""
"264","CHHABRA 12.5*16*4 BOX","JINDAL CYCLINDER","22 May, 2025","26 May, 2025",""
"265","ATTIDUDE 14*18 LOOP","JINDAL CYCLINDER","22 May, 2025","26 May, 2025",""
"266","G MENS WEAR 10*16.5*5.5 BOX","JINDAL CYCLINDER","22 May, 2025","26 May, 2025",""
"267","G MENS WEAR 16*16*6 BOX","ROYAL CYCLINDERS","22 May, 2025","06 Jun, 2025",""
"268","MADHUSHREE 16*13*5 BOX","ROYAL CYCLINDERS","22 May, 2025","06 Jun, 2025",""
"269","NINS MODA 16*13*5 BOX","JINDAL CYCLINDER","21 May, 2025","26 May, 2025",""
"270","BABLU THE DESIGNER 11*14*4 BOX ( NAVY )","KATYANI CYCLINDER","14 May, 2025","26 May, 2025",""
"271","BABLU THE DESIGNER 11*14*4 BOX (ORANGE )","KATYANI CYCLINDER","14 May, 2025","26 May, 2025",""
"272","SINDOOR 16*20 LOOP","ROYAL CYCLINDERS","14 May, 2025","30 May, 2025",""
"273","MAMATA OPTICAL 9*11*4 BOX","JINDAL CYCLINDER","14 May, 2025","26 May, 2025",""
"274","AFFINITY STORE 16*20 LOOP","JINDAL CYCLINDER","13 May, 2025","20 May, 2025",""
"275","CHOWDHARY NURSING HOME 12*16 LOOP","ROYAL CYCLINDERS","13 May, 2025","24 May, 2025",""
"276","FASHION WORLD 14*18 LOOP","KATYANI CYCLINDER","13 May, 2025","20 May, 2025",""
"277","VISHAL KID 12*16 LOOP","JINDAL CYCLINDER","13 May, 2025","20 May, 2025",""
"278","RAJESHN CUT PIECE CENTER LLP (16*16.7*6 BOX )","ROYAL CYCLINDERS","09 May, 2025","26 May, 2025",""
"279","GURU NANAK MOBILE 10*14 LOOP","JINDAL CYCLINDER","09 May, 2025","20 May, 2025",""
"280","MALAPPURAM SILK PARK 14*18 LOOP","KATYANI CYCLINDER","09 May, 2025","20 May, 2025",""
"281","BMS BRIDAL & SUITS 16*13*5 BOX","KATYANI CYCLINDER","06 May, 2025","10 May, 2025",""
"282","BMS BRIDAL & SUITS 16*20 LOOP","ROYAL CYCLINDERS","06 May, 2025","14 May, 2025",""
"283","BMS BRIDAL & SUITS 16*16.7*5.5 BOX","JINDAL CYCLINDER","06 May, 2025","14 May, 2025",""
"284","MANCHANDA SHOE 11*14.5*5 BOX","JINDAL CYCLINDER","06 May, 2025","14 May, 2025",""
"285","ZERO DEGREE 13*14.7*4.5 BOX","JINDAL CYCLINDER","06 May, 2025","20 May, 2025",""
"286","MAHESHWARI FASHION 15*20 D-CUT","ROYAL CYCLINDERS","06 May, 2025","20 May, 2025",""
"287","MAHESHWARI FASHION 15*20 D-CUT","ROYAL CYCLINDERS","06 May, 2025","24 May, 2025",""
"288","UNIQUE COLLECTION 25*19.5 LOOP","ROYAL CYCLINDERS","06 May, 2025","24 May, 2025",""
"289","BHOLE DI HATTI 14*18 D-CUT","ROYAL CYCLINDERS","29 Apr, 2025","14 May, 2025",""
"290","LIFE STYLE HANDLOOM 15.7*16.7*5.5 BOX","ROYAL CYCLINDERS","29 Apr, 2025","20 May, 2025",""
"291","LIFE STYLE HANDLOOM 16*20 LOOP","ROYAL CYCLINDERS","29 Apr, 2025","16 May, 2025",""
"292","REACTIVE 11.5*13.5*4 BOX","JINDAL CYCLINDER","26 Apr, 2025","06 May, 2025",""
"293","MNX 16*16.7*5.5 BOX","ROYAL CYCLINDERS","26 Apr, 2025","10 May, 2025",""
"294","SHRI GANESH 14*20 LOOP","ROYAL CYCLINDERS","26 Apr, 2025","10 May, 2025",""
"295","RANA'S 12*15*4.5 BOX","ROYAL CYCLINDERS","26 Apr, 2025","14 May, 2025",""
"296","BALA JEE ENTERPRISES 11*14.5*5 BOX","ROYAL CYCLINDERS","26 Apr, 2025","10 May, 2025",""
"297","BALA JEE ENTERPRISES 12*16 D-CUT","JINDAL CYCLINDER","26 Apr, 2025","10 May, 2025",""
"298","NEVA CLOTHING FOR LIFE 14*18.5 D-CUT","ROYAL CYCLINDERS","22 Apr, 2025","06 May, 2025",""
"299","ZOOM FASHION 12*15*5 BOX","ROYAL CYCLINDERS","19 Apr, 2025","06 May, 2025",""
"300","ZOOM FASHION 12*16 D-CUT","ROYAL CYCLINDERS","19 Apr, 2025","10 May, 2025",""
"301","UNIBERRY 16*17 LOOP","ROYAL CYCLINDERS","19 Apr, 2025","07 May, 2025",""
"302","RAGHAV TEXTILES 13*16*6 BOX","JINDAL CYCLINDER","16 Apr, 2025","25 Apr, 2025",""
"303","KAIZEN SPORTS AND FITNES(SPIDER MAN)14*18 LOOP","KATYANI CYCLINDER","16 Apr, 2025","22 Apr, 2025",""
"304","CHOTE BHAI KA CHOTA DUKAN 19*15 LOOP","JINDAL CYCLINDER","16 Apr, 2025","30 Apr, 2025",""
"305","CHOTE BHAI KA CHOTA DUKAN 19*15 LOOP","JINDAL CYCLINDER","16 Apr, 2025","01 May, 2025",""
"306","GULSHAN CLOTH HOUSE 14*18 D-CUT","JINDAL CYCLINDER","16 Apr, 2025","25 Apr, 2025",""
"307","GOVERDHAN 12*16 LOOP","JINDAL CYCLINDER","16 Apr, 2025","25 Apr, 2025",""
"308","TURNING POINT 14*10*6 BOX","JINDAL CYCLINDER","11 Apr, 2025","19 Apr, 2025",""
"309","GDSD 15*15.7*4 BOX","JINDAL CYCLINDER","11 Apr, 2025","03 May, 2025",""
"310","NAZUK 11*13*4 BOX","JINDAL CYCLINDER","11 Apr, 2025","19 Apr, 2025",""
"311","SASTI HATTI 16*16.7*5.5 BOX","JINDAL CYCLINDER","11 Apr, 2025","19 Apr, 2025",""
"312","SAPNA READYMADE STORE 15.7*16.7*5.5 BOX","JINDAL CYCLINDER","11 Apr, 2025","19 Apr, 2025",""
"313","EXCLUSIVE GARMENT BOUTIQUE 16*12*6 BOX","KATYANI CYCLINDER","11 Apr, 2025","21 Apr, 2025",""
"314","EXCLUSIVE GARMENT BOUTIQUE 14*10*6 BOX","KATYANI CYCLINDER","11 Apr, 2025","21 Apr, 2025",""
"315","EXCLUSIVE GARMENT BOUTIQUE 11*13 LOOP","JINDAL CYCLINDER","11 Apr, 2025","22 Apr, 2025",""
"316","TACO BRAVO 14*14.5*9.5 BOX","JINDAL CYCLINDER","08 Apr, 2025","10 Apr, 2025",""
"317","SHRI KSHETRA SHRAVANABELAGOLA DIGAMBER JAIN 11.8*12.2*3.5 BOX","JINDAL CYCLINDER","08 Apr, 2025","10 Apr, 2025",""
"318","DAR KESAR MEHAL 11*11*4 BOX","JINDAL CYCLINDER","08 Apr, 2025","06 May, 2025",""
"319","CLARKS 13*16*7 BOX","KATYANI CYCLINDER","07 Apr, 2025","16 Apr, 2025",""
"320","RAWALDHIYA CLOTH HOUSE 17*20 LOOP","JINDAL CYCLINDER","07 Apr, 2025","16 Apr, 2025",""
"321","PASSI CLOTH HOUSE 15*20 D-CUT","JINDAL CYCLINDER","07 Apr, 2025","16 Apr, 2025",""
"322","TONI JEWELLS & COSMETICS 9*11*4 BOX","JINDAL CYCLINDER","05 Apr, 2025","19 Apr, 2025",""
"323","MAHINDER SINGH BHATTIA 16*16.7*5.5 BOX","JINDAL CYCLINDER","05 Apr, 2025","16 Apr, 2025",""
"324","SHREE RAM DRESESS 17*15*6 BOX","JINDAL CYCLINDER","05 Apr, 2025","14 Apr, 2025",""
"325","KANHAIYA SHOE 13*10.5*5 BOX","JINDAL CYCLINDER","04 Apr, 2025","10 Apr, 2025",""
"326","TRENDY FITS 10*14*4 BOX","KATYANI CYCLINDER","01 Apr, 2025","10 Apr, 2025",""
"327","ELANTE 18*14 LOOP","JINDAL CYCLINDER","01 Apr, 2025","10 Apr, 2025",""
"328","ELANTE 15*13 LOOP","JINDAL CYCLINDER","01 Apr, 2025","22 Apr, 2025",""
"329","LE BON TON 16.5*18 LOOP","JINDAL CYCLINDER","31 Mar, 2025","04 Apr, 2025",""
"330","MISHU MC CREATIONS 11*15*4 BOX","KATYANI CYCLINDER","31 Mar, 2025","10 Apr, 2025",""
"331","GURU RAMDAS STORES 14*18 LOOP","JINDAL CYCLINDER","31 Mar, 2025","07 Apr, 2025",""
"332","GOPAL'S 13*9.5*8.5 BOX","JINDAL CYCLINDER","31 Mar, 2025","07 Apr, 2025",""
"333","FASHION FAIR 14*14*5.5 BOX","JINDAL CYCLINDER","24 Mar, 2025","07 Apr, 2025",""
"334","FASHION FAIR 16*16.7*6 BOX","JINDAL CYCLINDER","24 Mar, 2025","07 Apr, 2025",""
"335","JINDAL'S 11*13*4 BOX","KATYANI CYCLINDER","24 Mar, 2025","03 Apr, 2025",""
"336","GULLU EXCLUSIVE (15.5*19 LOOP)","JINDAL CYCLINDER","22 Mar, 2025","02 Apr, 2025",""
"337","GULLU EXCLUSIVE (16*16.7*5 BOX)","JINDAL CYCLINDER","22 Mar, 2025","02 Apr, 2025",""
"338","N.R. BEACUTY WORLD 12*14*4 BOX","KATYANI CYCLINDER","22 Mar, 2025","03 Apr, 2025",""
"339","BLOWFISH POKE HAWAIIAN GRILL 10*13*7 BOX","KATYANI CYCLINDER","22 Mar, 2025","03 Apr, 2025",""
"340","BLOWFISH POKE HAWAIIAN GRILL 14*14*9.5 BOX","JINDAL CYCLINDER","22 Mar, 2025","07 Apr, 2025",""
"341","ATTIDUDE 14*14*5 BOX","JINDAL CYCLINDER","22 Mar, 2025","28 Mar, 2025",""
"342","URBAN RACE 16*17 LOOP","JINDAL CYCLINDER","22 Mar, 2025","02 Apr, 2025",""
"343","DHIR SILK PLAZA 14.5*11.5*5 BOX","JINDAL CYCLINDER","19 Mar, 2025","28 Mar, 2025",""
"344","VASTRAM 15*16.7*5 BOX","JINDAL CYCLINDER","18 Mar, 2025","27 Mar, 2025",""
"345","VASTRAM 14*18 LOOP","KATYANI CYCLINDER","18 Mar, 2025","27 Mar, 2025",""
"346","FASHION POINT ( FP) 16*20 LOOP","ROYAL CYCLINDERS","18 Mar, 2025","04 Apr, 2025",""
"347","BLUE WINGS DASUYA 16*16.7*5.5 BOX","KATYANI CYCLINDER","18 Mar, 2025","03 Apr, 2025",""
"348","SUIT CITY POTOMAC MILLS 16.5*16.5*6 BOX","KATYANI CYCLINDER","18 Mar, 2025","27 Mar, 2025",""
"349","THE HEART OF ATC 16*16.7*5.5 BOX","JINDAL CYCLINDER","18 Mar, 2025","05 Apr, 2025",""
"350","ASHU EMPORIUM 14*14*5 BOX","JINDAL CYCLINDER","18 Mar, 2025","07 Apr, 2025",""
"351","MOOLCHAND  14*18 LOOP","JINDAL CYCLINDER","18 Mar, 2025","27 Mar, 2025",""
"352","GENX PREMIUMS 14*16 LOOP","JINDAL CYCLINDER","18 Mar, 2025","27 Mar, 2025",""
"353","SARGODHA SILK HOUSE 16*20 LOOP","JINDAL CYCLINDER","13 Mar, 2025","31 Mar, 2025",""
"354","SARGODHA SILK HOUSE 16*16.7*5.5 BOX","JINDAL CYCLINDER","13 Mar, 2025","31 Mar, 2025",""
"355","13-13 MODI KHANNA(GOD MAN) 11*13*4 BOX","JINDAL CYCLINDER","13 Mar, 2025","02 Apr, 2025",""
"356","13-13 MODI KHANNA(GOD MAN) 12*13 LOOP","JINDAL CYCLINDER","13 Mar, 2025","26 Mar, 2025",""
"357","13-13 MODI KHANNA(GOD MAN) 16*16.7*6 BOX","KATYANI CYCLINDER","13 Mar, 2025","27 Mar, 2025",""
"358","CHENNAI MOBILES 12*14 LOOP","KATYANI CYCLINDER","13 Mar, 2025","15 Apr, 2025",""
"359","SAMEER 16*20 LOOP","KATYANI CYCLINDER","13 Mar, 2025","27 Mar, 2025",""
"360","SAMEER 14*18 LOOP","KATYANI CYCLINDER","13 Mar, 2025","27 Mar, 2025",""
"361","CHANDAN SAREE EMPORIUM 16*20 LOOP","ROYAL CYCLINDERS","13 Mar, 2025","02 Apr, 2025",""
"362","TAIGA 12.5*15*4 Box","KATYANI CYCLINDER","11 Mar, 2025","19 Mar, 2025",""
"363","YUNUS CLOTH EMPORIUM 9*11*4 BOX","JINDAL CYCLINDER","11 Mar, 2025","27 Mar, 2025",""
"364","INFISTYLE 13*15.5*4 BOX","JINDAL CYCLINDER","11 Mar, 2025","13 Mar, 2025",""
"365","SAKUNTLA TRADERS (HINDI) 16*18 LOOP","JINDAL CYCLINDER","07 Mar, 2025","17 Mar, 2025",""
"366","SAHNI GARMENTS 16*20 LOOP","JINDAL CYCLINDER","05 Mar, 2025","27 Mar, 2025",""
"367","MAHAWAR FABRICS 14*18 D-CUT","JINDAL CYCLINDER","05 Mar, 2025","13 Mar, 2025",""
"368","MAHAWAR FABRICS 14*18 LOOP / D-CUT","JINDAL CYCLINDER","05 Mar, 2025","13 Mar, 2025",""
"369","BEN AMERA 14*18 LOOP","JINDAL CYCLINDER","05 Mar, 2025","01 Apr, 2025",""
"370","ANUPAM VASTRALA SCHOOL UNIFORM 12*16 LOOP","KATYANI CYCLINDER","05 Mar, 2025","13 Mar, 2025",""
"371","SACHDEVA SONS 16*20 LOOP","JINDAL CYCLINDER","05 Mar, 2025","13 Mar, 2025",""
"372","SM 13*16.5*5.5 BOX","KATYANI CYCLINDER","05 Mar, 2025","20 Mar, 2025",""
"373","RANG RACHNA  16*20 LOOP","ROYAL CYCLINDERS","05 Mar, 2025","27 Mar, 2025",""
"374","AVI'S 15*12*5 BOX","KATYANI CYCLINDER","28 Feb, 2025","11 Mar, 2025",""
"375","BEDI WORLD FASHION 12*15.5*5 BOX","JINDAL CYCLINDER","27 Feb, 2025","16 Apr, 2025",""
"376","PREM SAREE EMPORIUM 16*19 LOOP","JINDAL CYCLINDER","27 Feb, 2025","10 Mar, 2025",""
"377","METROCITY MALL 12*16 D-CUT","KATYANI CYCLINDER","25 Feb, 2025","13 Mar, 2025",""
"378","URBANCE ( SHIBA ) 14*16 LOOP","KATYANI CYCLINDER","25 Feb, 2025","13 Mar, 2025",""
"379","MYRO 14*16 LOOP","KATYANI CYCLINDER","25 Feb, 2025","11 Mar, 2025",""
"380","ONE STOP 11*13*4 BOX","KATYANI CYCLINDER","25 Feb, 2025","13 Mar, 2025",""
"381","ONE STOP 14*14*5 BOX","KATYANI CYCLINDER","25 Feb, 2025","13 Mar, 2025",""
"382","ONE STOP 16*16.5*5.5 BOX","KATYANI CYCLINDER","25 Feb, 2025","13 Mar, 2025",""
"383","ONE STOP 9*11*4 BOX","KATYANI CYCLINDER","25 Feb, 2025","13 Mar, 2025",""
"384","MILAP ANNEXE 14*16*4 BOX","ROYAL CYCLINDERS","19 Feb, 2025","05 Mar, 2025",""
"385","VISMAYA SILKS 16*16*5.5 BOX","ROYAL CYCLINDERS","19 Feb, 2025","05 Mar, 2025",""
"386","JOG 10*14 LOOP","KATYANI CYCLINDER","19 Feb, 2025","05 Mar, 2025",""
"387","JOG 11*15*4 BOX","KATYANI CYCLINDER","19 Feb, 2025","28 Feb, 2025",""
"388","CHUTNEY 10*12*7 BOX","KATYANI CYCLINDER","19 Feb, 2025","03 Mar, 2025",""
"389","NORA'S KABOB 14*14*9.5 BOX","KATYANI CYCLINDER","19 Feb, 2025","05 Mar, 2025",""
"390","YUVARAJ 11*13*4 BOX","KATYANI CYCLINDER","19 Feb, 2025","06 Mar, 2025",""
"391","CHAWLA SILK STORE 16*16.5*5.5 BOX","ROYAL CYCLINDERS","19 Feb, 2025","05 Mar, 2025",""
"392","BASANTA STORE 15.5*16.5*5.5 BOX","JINDAL CYCLINDER","19 Feb, 2025","03 Mar, 2025",""
"393","BASANTA STORE 15.5*16.5*5.5 BOX","JINDAL CYCLINDER","19 Feb, 2025","13 Mar, 2025",""
"394","CHUTNEY 13*16*7 BOX","KATYANI CYCLINDER","19 Feb, 2025","05 Mar, 2025",""
"395","BASANTA STORE 13.5*14.5*5 BOX","JINDAL CYCLINDER","19 Feb, 2025","03 Mar, 2025",""
"396","BOOST MOBILE 11.5*13.5*4 BOX","KATYANI CYCLINDER","19 Feb, 2025","01 Mar, 2025",""
"397","SHARMA SWEET SHOP 9*9.5 LOOP","KATYANI CYCLINDER","18 Feb, 2025","21 Feb, 2025",""
"398","GARDEN EMPORIUM 14*18 LOOP","KATYANI CYCLINDER","13 Feb, 2025","25 Feb, 2025",""
"399","RINKU 16*20 LOOP","JINDAL CYCLINDER","13 Feb, 2025","05 Mar, 2025",""
"400","SAFA ( ZSK) 16*16.5*5.5 BOX","KATYANI CYCLINDER","13 Feb, 2025","05 Mar, 2025",""
"401","13 ALL 15*10.5*4.5 BOX","JINDAL CYCLINDER","13 Feb, 2025","25 Feb, 2025",""
"402","BOBBY MOBILES 9*11*4 BOX","KATYANI CYCLINDER","13 Feb, 2025","01 Mar, 2025",""
"403","CUFFLINKS A STATE OF MINDS 16*20 LOOP","KATYANI CYCLINDER","13 Feb, 2025","01 Mar, 2025",""
"404","NAREES CRAFTED 16*16.5*5.5 BOX","ROYAL CYCLINDERS","07 Feb, 2025","N/A",""
"405","NILAV TEXTILES & READYMADE (  MALAYALAM ) 14*16.5*5.5 BOX BOX","ROYAL CYCLINDERS","07 Feb, 2025","18 Feb, 2025",""
"406","TOR TAPPA 16*20 LOOP","KATYANI CYCLINDER","05 Feb, 2025","17 Feb, 2025",""
"407","VARDHMAN GALLERY 16*16.5*5.5 BOX","JINDAL CYCLINDER","04 Feb, 2025","14 Feb, 2025",""
"408","CHILDREN'S CORNER 16*20 LOOP","JINDAL CYCLINDER","04 Feb, 2025","14 Feb, 2025",""
"409","GAMBHIR GARMENTS 14*18 LOOP","KATYANI CYCLINDER","04 Feb, 2025","17 Feb, 2025",""
"410","HIMALAYAN TRACK 14*18 LOOP","KATYANI CYCLINDER","04 Feb, 2025","17 Feb, 2025",""
"411","MOTILAL SAREE COLLECTION ( BANGLA ) 14*18 LOOP","KATYANI CYCLINDER","04 Feb, 2025","18 Feb, 2025",""
"412","SHOE MALL 16*13*5 BOX","KATYANI CYCLINDER","04 Feb, 2025","14 Feb, 2025",""
"413","SAVRA 12*13.5*4 BOX","KATYANI CYCLINDER","01 Feb, 2025","10 Feb, 2025",""
"414","TODAY'S SELECTION 14*18 LOOP","KATYANI CYCLINDER","01 Feb, 2025","21 Feb, 2025",""
"415","AARUSHI GIRLS WEAR 12*14*4 BOX","JINDAL CYCLINDER","29 Jan, 2025","04 Feb, 2025",""
"416","JAPAN AGENCIES 14*17 LOOP","ROYAL CYCLINDERS","29 Jan, 2025","10 Feb, 2025",""
"417","ZOOM GIRL 16*13*5 BOX","KATYANI CYCLINDER","29 Jan, 2025","10 Feb, 2025",""
"418","MSP ( COLOUR KIDS ) 11*13.5*4 BOX","KATYANI CYCLINDER","29 Jan, 2025","11 Feb, 2025",""
"419","SANGHU SWEET 14*9*9.5 BOX","KATYANI CYCLINDER","29 Jan, 2025","21 Feb, 2025",""
"420","ATTIDUDE 9*11*4 BOX","KATYANI CYCLINDER","29 Jan, 2025","21 Feb, 2025",""
"421","SISTERS 16*17.5 LOOP","JINDAL CYCLINDER","29 Jan, 2025","17 Feb, 2025",""
"422",": PEHNAWA SAREE 12*16*4 BOX","JINDAL CYCLINDER","27 Jan, 2025","04 Feb, 2025",""
"423","MONTU GARMENTS 13*16*4 BOX","KATYANI CYCLINDER","27 Jan, 2025","10 Feb, 2025",""
"424","MONTU GARMENTS 12*13*4 BOX","KATYANI CYCLINDER","27 Jan, 2025","13 Mar, 2025",""
"425","MONTU GARMENTS 16*16.5*5.5 BOX","KATYANI CYCLINDER","27 Jan, 2025","08 Feb, 2025",""
"426","MONTU GARMENTS 11*14 LOOP","JINDAL CYCLINDER","27 Jan, 2025","04 Feb, 2025",""
"427","BEDI WORLD FASHION9*13*4.5 BOX","KATYANI CYCLINDER","27 Jan, 2025","07 Feb, 2025",""
"428","PEHNAWA SAREE 16*16.5*5.5 BOX","ROYAL CYCLINDERS","27 Jan, 2025","04 Feb, 2025",""
"429","SUTTLE  DOGGERS 13*15.5*4 BOX","KATYANI CYCLINDER","27 Jan, 2025","08 Feb, 2025",""
"430","CANDID SHOE  14*18 LOOP","JINDAL CYCLINDER","27 Jan, 2025","04 Feb, 2025",""
"431","DUSTY LOOK 12*16.5*5.5 BOX","JINDAL CYCLINDER","27 Jan, 2025","04 Feb, 2025",""
"432","HACKERS 11*13*4 BOX","JINDAL CYCLINDER","27 Jan, 2025","04 Feb, 2025",""
"433","SUNNY GARMENTS 17*20 LOOP","KATYANI CYCLINDER","27 Jan, 2025","10 Feb, 2025",""
"434","TALWAR GARMENTS 13.5*15*5.5 BOX","ROYAL CYCLINDERS","27 Jan, 2025","04 Feb, 2025",""
"435","CHARMS COLLECTION 25*20 ADDA LOOP","ROYAL CYCLINDERS","27 Jan, 2025","10 Feb, 2025",""
"436","PRINCE CLOTH HOUSE 12.5*15*4 BOX","KATYANI CYCLINDER","27 Jan, 2025","07 Feb, 2025",""
"437","MALAPPURAM SILK STORE 14*16.5*5.5 BOX","KATYANI CYCLINDER","27 Jan, 2025","08 Feb, 2025",""
"438","SHAFAQ 16*18 LOOP","KATYANI CYCLINDER","27 Jan, 2025","31 Jan, 2025",""
"439","GOLDSTAR 16*20 LOOP","KATYANI CYCLINDER","27 Jan, 2025","27 Jan, 2025",""
"440","SSIGNATURE'S 14*12 LOOP","KATYANI CYCLINDER","18 Jan, 2025","31 Jan, 2025",""
"441","BEING BRAND OF URS. 10*13*3.5 BOX","KATYANI CYCLINDER","18 Jan, 2025","01 Feb, 2025",""
"442","SHOE BOX 16*18 LOOP","KATYANI CYCLINDER","18 Jan, 2025","03 Feb, 2025",""
"443","SHRI GURU RAMDAS STORE 16*20 LOOP","KATYANI CYCLINDER","18 Jan, 2025","01 Feb, 2025",""
"444","AJOONI 14*17*5.5 BOX","KATYANI CYCLINDER","18 Jan, 2025","01 Feb, 2025",""
"445","GOLDEN GUZZET 16*13*5 BOX","KATYANI CYCLINDER","15 Jan, 2025","01 Feb, 2025",""
"446","GOLDEN GUZZET 14*14*5 BOX","KATYANI CYCLINDER","15 Jan, 2025","01 Feb, 2025",""
"447","MADHAV ENTERPRISES 16*20 LOOP","JINDAL CYCLINDER","14 Jan, 2025","27 Jan, 2025",""
"448","YASH MEN'S WEAR( HINDI) 14*18 D-CUT","JINDAL CYCLINDER","14 Jan, 2025","27 Jan, 2025",""
"449","DOSSIL DENIM 16*18 LOOP","KATYANI CYCLINDER","14 Jan, 2025","27 Jan, 2025",""
"450","OM SON'S 13.5*15.5*5 BOX","KATYANI CYCLINDER","14 Jan, 2025","27 Jan, 2025",""
"451","MOUNTAIN YAK 14*18 LOOP","KATYANI CYCLINDER","09 Jan, 2025","27 Jan, 2025",""
"452","SHRI GOVERDHAN 17*15 LOOP","KATYANI CYCLINDER","09 Jan, 2025","01 Feb, 2025",""
"453","JAPAN AGENCIES 15*18 LOOP","KATYANI CYCLINDER","09 Jan, 2025","27 Jan, 2025",""
"454","MR. GREEN 8*10*4.5 BOX","KATYANI CYCLINDER","04 Jan, 2025","23 Jan, 2025",""
"455","MASK 11*13*4 BOX","KATYANI CYCLINDER","04 Jan, 2025","27 Jan, 2025",""
"456","MASK 14*16.7*5.5 BOX","KATYANI CYCLINDER","04 Jan, 2025","27 Jan, 2025",""
"457","NILAV TEXTILES & READYMADE (  MALAYALAM ) 15.12.4 BOX","KATYANI CYCLINDER","04 Jan, 2025","30 Jan, 2025",""
"458","JAWALAJI TEXTILES 16*16.5*5.5 BOX","JINDAL CYCLINDER","04 Jan, 2025","27 Jan, 2025",""
"459","JOSHI FASHION MALL 15.5*16.5*5.5 BOX","JINDAL CYCLINDER","04 Jan, 2025","18 Jan, 2025",""
"460","MARIA TOUCH 11*13*4 BOX","KATYANI CYCLINDER","03 Jan, 2025","18 Jan, 2025",""
"461","FASHION GURU 16*20 LOOP","KATYANI CYCLINDER","03 Jan, 2025","14 Jan, 2025",""
"462","GULSHAN GARMENTS 13*16.5*5.5 BOX","KATYANI CYCLINDER","03 Jan, 2025","14 Jan, 2025",""
"463","KHALSA CLOTH HOUSE 11.5*13.5*4.5 BOX","KATYANI CYCLINDER","03 Jan, 2025","27 Jan, 2025",""
